epoch,train_loss,val_loss,dice,thresh_0.3,thresh_0.5,thresh_0.7
1,0.3567,0.325,0.6653,0.6633,0.6653,0.6662
2,0.1621,0.3171,0.6876,0.6889,0.6876,0.6856
3,0.1391,0.316,0.6861,0.6875,0.6861,0.684
4,0.1227,0.3005,0.6859,0.6854,0.6859,0.6862
5,0.1163,0.2547,0.7384,0.7379,0.7384,0.7386
6,0.1111,0.2332,0.7461,0.7444,0.7461,0.7477
7,0.1069,0.236,0.7441,0.7418,0.7441,0.7461
8,0.0989,0.2541,0.7341,0.7338,0.7341,0.7345
9,0.0987,0.2537,0.7439,0.7434,0.7439,0.744
10,0.0946,0.2958,0.7073,0.7084,0.7073,0.7066
11,0.0934,0.2205,0.7582,0.7571,0.7582,0.7591
12,0.0902,0.2517,0.7451,0.7449,0.7451,0.7452
13,0.089,0.2705,0.739,0.7406,0.739,0.7377
14,0.0863,0.2305,0.7635,0.7632,0.7635,0.7637
15,0.0818,0.223,0.7542,0.7527,0.7542,0.7555
16,0.0817,0.2233,0.7526,0.7512,0.7526,0.7539
17,0.0783,0.2739,0.7347,0.7359,0.7347,0.7331
18,0.0759,0.2189,0.7653,0.7638,0.7653,0.7663
19,0.0737,0.2381,0.7561,0.7557,0.7561,0.7563
20,0.0763,0.2421,0.7557,0.7558,0.7557,0.7555
21,0.0728,0.2366,0.7596,0.7595,0.7596,0.7594
22,0.0698,0.2519,0.7384,0.7381,0.7384,0.7387
23,0.0686,0.2313,0.7663,0.7663,0.7663,0.7663
24,0.0667,0.2297,0.7577,0.7569,0.7577,0.7582
25,0.0668,0.2315,0.7645,0.7644,0.7645,0.7642
26,0.064,0.2488,0.7531,0.7534,0.7531,0.7529
27,0.0634,0.2401,0.7638,0.7636,0.7638,0.764
28,0.0618,0.2362,0.7576,0.7573,0.7576,0.7578
29,0.0615,0.2689,0.7496,0.7506,0.7496,0.7489
30,0.0615,0.2297,0.7657,0.7655,0.7657,0.7659
31,0.0597,0.2295,0.7546,0.7539,0.7546,0.7553
32,0.0576,0.2503,0.7491,0.7489,0.7491,0.7494
33,0.0565,0.2402,0.7596,0.7595,0.7596,0.7598
34,0.0558,0.2214,0.7768,0.7769,0.7768,0.7768
35,0.0573,0.2236,0.7722,0.7723,0.7722,0.7719
36,0.0537,0.2231,0.7823,0.7826,0.7823,0.782
37,0.0549,0.222,0.7695,0.7694,0.7695,0.7697
38,0.0516,0.2218,0.7736,0.7734,0.7736,0.7738
39,0.0514,0.2298,0.7705,0.7705,0.7705,0.7704
40,0.0511,0.2246,0.7734,0.7735,0.7734,0.7733
41,0.0511,0.2431,0.7594,0.7598,0.7594,0.759
42,0.0489,0.2309,0.7703,0.7708,0.7703,0.7701
43,0.0483,0.233,0.7624,0.7621,0.7624,0.7626
44,0.0478,0.2596,0.7456,0.7457,0.7456,0.7457
45,0.048,0.2195,0.7758,0.7754,0.7758,0.776
46,0.0461,0.2319,0.7684,0.7685,0.7684,0.7685
47,0.0454,0.2384,0.7671,0.7672,0.7671,0.7671
48,0.0449,0.256,0.7479,0.748,0.7479,0.7475
49,0.0446,0.2387,0.7611,0.7607,0.7611,0.7612
50,0.0443,0.2336,0.768,0.7683,0.768,0.7677
