patient_id,phase,z_index,height,width
BraTS-MEN-RT-0011-1,0.local,0,259,259
BraTS-MEN-RT-0011-1,0.local,1,259,259
BraTS-MEN-RT-0011-1,0.local,2,259,259
BraTS-MEN-RT-0011-1,0.local,3,259,259
BraTS-MEN-RT-0011-1,0.local,4,259,259
BraTS-MEN-RT-0011-1,0.local,5,259,259
BraTS-MEN-RT-0011-1,0.local,6,259,259
BraTS-MEN-RT-0011-1,0.local,7,259,259
BraTS-MEN-RT-0011-1,0.local,8,259,259
BraTS-MEN-RT-0011-1,0.local,9,259,259
BraTS-MEN-RT-0011-1,0.local,10,259,259
BraTS-MEN-RT-0011-1,0.local,11,259,259
BraTS-MEN-RT-0011-1,0.local,12,259,259
BraTS-MEN-RT-0011-1,0.local,13,259,259
BraTS-MEN-RT-0011-1,0.local,14,259,259
BraTS-MEN-RT-0011-1,0.local,15,259,259
BraTS-MEN-RT-0011-1,0.local,16,259,259
BraTS-MEN-RT-0011-1,0.local,17,259,259
BraTS-MEN-RT-0011-1,0.local,18,259,259
BraTS-MEN-RT-0011-1,0.local,19,259,259
BraTS-MEN-RT-0011-1,0.local,20,259,259
BraTS-MEN-RT-0011-1,0.local,21,259,259
BraTS-MEN-RT-0011-1,0.local,22,259,259
BraTS-MEN-RT-0011-1,0.local,23,259,259
BraTS-MEN-RT-0011-1,0.local,24,259,259
BraTS-MEN-RT-0011-1,0.local,25,259,259
BraTS-MEN-RT-0011-1,0.local,26,259,259
BraTS-MEN-RT-0011-1,0.local,27,259,259
BraTS-MEN-RT-0011-1,0.local,28,259,259
BraTS-MEN-RT-0011-1,0.local,29,259,259
BraTS-MEN-RT-0011-1,0.local,30,259,259
BraTS-MEN-RT-0011-1,0.local,31,259,259
BraTS-MEN-RT-0011-1,0.local,32,259,259
BraTS-MEN-RT-0011-1,0.local,33,259,259
BraTS-MEN-RT-0011-1,0.local,34,259,259
BraTS-MEN-RT-0011-1,0.local,35,259,259
BraTS-MEN-RT-0011-1,0.local,36,259,259
BraTS-MEN-RT-0011-1,0.local,37,259,259
BraTS-MEN-RT-0011-1,0.local,38,259,259
BraTS-MEN-RT-0011-1,0.local,39,259,259
BraTS-MEN-RT-0011-1,0.local,40,259,259
BraTS-MEN-RT-0011-1,0.local,41,259,259
BraTS-MEN-RT-0011-1,0.local,42,259,259
BraTS-MEN-RT-0011-1,0.local,43,259,259
BraTS-MEN-RT-0011-1,0.local,44,259,259
BraTS-MEN-RT-0011-1,0.local,45,259,259
BraTS-MEN-RT-0011-1,0.local,46,259,259
BraTS-MEN-RT-0011-1,0.local,47,259,259
BraTS-MEN-RT-0011-1,0.local,48,259,259
BraTS-MEN-RT-0011-1,0.local,49,259,259
BraTS-MEN-RT-0011-1,0.local,50,259,259
BraTS-MEN-RT-0011-1,0.local,51,259,259
BraTS-MEN-RT-0011-1,0.local,52,259,259
BraTS-MEN-RT-0011-1,0.local,53,259,259
BraTS-MEN-RT-0011-1,0.local,54,259,259
BraTS-MEN-RT-0011-1,0.local,55,259,259
BraTS-MEN-RT-0011-1,0.local,56,259,259
BraTS-MEN-RT-0011-1,0.local,57,259,259
BraTS-MEN-RT-0011-1,0.local,58,259,259
BraTS-MEN-RT-0011-1,0.local,59,259,259
BraTS-MEN-RT-0011-1,0.local,60,259,259
BraTS-MEN-RT-0011-1,0.local,61,259,259
BraTS-MEN-RT-0011-1,0.local,62,259,259
BraTS-MEN-RT-0011-1,0.local,63,259,259
BraTS-MEN-RT-0011-1,0.local,64,259,259
BraTS-MEN-RT-0011-1,0.local,65,259,259
BraTS-MEN-RT-0011-1,0.local,66,259,259
BraTS-MEN-RT-0011-1,0.local,67,259,259
BraTS-MEN-RT-0011-1,0.local,68,259,259
BraTS-MEN-RT-0011-1,0.local,69,259,259
BraTS-MEN-RT-0011-1,0.local,70,259,259
BraTS-MEN-RT-0011-1,0.local,71,259,259
BraTS-MEN-RT-0011-1,0.local,72,259,259
BraTS-MEN-RT-0011-1,0.local,73,259,259
BraTS-MEN-RT-0011-1,0.local,74,259,259
BraTS-MEN-RT-0011-1,0.local,75,259,259
BraTS-MEN-RT-0011-1,0.local,76,259,259
BraTS-MEN-RT-0011-1,0.local,77,259,259
BraTS-MEN-RT-0011-1,0.local,78,259,259
BraTS-MEN-RT-0011-1,0.local,79,259,259
BraTS-MEN-RT-0011-1,0.local,80,259,259
BraTS-MEN-RT-0011-1,0.local,81,259,259
BraTS-MEN-RT-0011-1,0.local,82,259,259
BraTS-MEN-RT-0011-1,0.local,83,259,259
BraTS-MEN-RT-0011-1,0.local,84,259,259
BraTS-MEN-RT-0011-1,0.local,85,259,259
BraTS-MEN-RT-0011-1,0.local,86,259,259
BraTS-MEN-RT-0011-1,0.local,87,259,259
BraTS-MEN-RT-0011-1,0.local,88,259,259
BraTS-MEN-RT-0011-1,0.local,89,259,259
BraTS-MEN-RT-0011-1,0.local,90,259,259
BraTS-MEN-RT-0011-1,0.local,91,259,259
BraTS-MEN-RT-0011-1,0.local,92,259,259
BraTS-MEN-RT-0011-1,0.local,93,259,259
BraTS-MEN-RT-0011-1,0.local,94,259,259
BraTS-MEN-RT-0011-1,0.local,95,259,259
BraTS-MEN-RT-0011-1,0.local,96,259,259
BraTS-MEN-RT-0011-1,0.local,97,259,259
BraTS-MEN-RT-0011-1,0.local,98,259,259
BraTS-MEN-RT-0011-1,0.local,99,259,259
BraTS-MEN-RT-0011-1,0.local,100,259,259
BraTS-MEN-RT-0011-1,0.local,101,259,259
BraTS-MEN-RT-0011-1,0.local,102,259,259
BraTS-MEN-RT-0011-1,0.local,103,259,259
BraTS-MEN-RT-0011-1,0.local,104,259,259
BraTS-MEN-RT-0011-1,0.local,105,259,259
BraTS-MEN-RT-0011-1,0.local,106,259,259
BraTS-MEN-RT-0011-1,0.local,107,259,259
BraTS-MEN-RT-0011-1,0.local,108,259,259
BraTS-MEN-RT-0011-1,0.local,109,259,259
BraTS-MEN-RT-0011-1,0.local,110,259,259
BraTS-MEN-RT-0011-1,0.local,111,259,259
BraTS-MEN-RT-0011-1,0.local,112,259,259
BraTS-MEN-RT-0011-1,0.local,113,259,259
BraTS-MEN-RT-0011-1,0.local,114,259,259
BraTS-MEN-RT-0011-1,0.local,115,259,259
BraTS-MEN-RT-0011-1,0.local,116,259,259
