filename,min_nonzero,bg_min,bg_max,bg_pixel_count
BraTS-MEN-RT-0002-1_slice_082_img.npy,-3.4220629426,-3.4220629426,0.0000000000,19887
BraTS-MEN-RT-0002-1_slice_082_mask.npy,1.0000000000,0.0000000000,0.0000000000,30686
BraTS-MEN-RT-0002-1_slice_083_img.npy,-3.4220629426,-3.4220629426,0.0000000000,20386
BraTS-MEN-RT-0002-1_slice_083_mask.npy,1.0000000000,0.0000000000,0.0000000000,30666
BraTS-MEN-RT-0002-1_slice_084_img.npy,-3.4220629426,-3.4220629426,0.0000000000,20835
BraTS-MEN-RT-0002-1_slice_084_mask.npy,1.0000000000,0.0000000000,0.0000000000,30623
BraTS-MEN-RT-0002-1_slice_085_img.npy,-3.4220629426,-3.4220629426,0.0000000000,21239
BraTS-MEN-RT-0002-1_slice_085_mask.npy,1.0000000000,0.0000000000,0.0000000000,30577
BraTS-MEN-RT-0002-1_slice_086_img.npy,-3.4220629426,-3.4220629426,0.0000000000,21426
BraTS-MEN-RT-0002-1_slice_086_mask.npy,1.0000000000,0.0000000000,0.0000000000,30439
BraTS-MEN-RT-0002-1_slice_087_img.npy,-3.4220629426,-3.4220629426,0.0000000000,21769
BraTS-MEN-RT-0002-1_slice_087_mask.npy,1.0000000000,0.0000000000,0.0000000000,30392
BraTS-MEN-RT-0002-1_slice_088_img.npy,-3.4220629426,-3.4220629426,0.0000000000,21964
BraTS-MEN-RT-0002-1_slice_088_mask.npy,1.0000000000,0.0000000000,0.0000000000,30348
BraTS-MEN-RT-0002-1_slice_089_img.npy,-3.4220629426,-3.4220629426,0.0000000000,22307
BraTS-MEN-RT-0002-1_slice_089_mask.npy,1.0000000000,0.0000000000,0.0000000000,30318
BraTS-MEN-RT-0002-1_slice_090_img.npy,-3.4220629426,-3.4220629426,0.0000000000,22827
BraTS-MEN-RT-0002-1_slice_090_mask.npy,1.0000000000,0.0000000000,0.0000000000,30309
BraTS-MEN-RT-0002-1_slice_091_img.npy,-3.4220629426,-3.4220629426,0.0000000000,23293
BraTS-MEN-RT-0002-1_slice_091_mask.npy,1.0000000000,0.0000000000,0.0000000000,30298
BraTS-MEN-RT-0002-1_slice_092_img.npy,-3.4220629426,-3.4220629426,0.0000000000,23716
BraTS-MEN-RT-0002-1_slice_092_mask.npy,1.0000000000,0.0000000000,0.0000000000,30269
BraTS-MEN-RT-0002-1_slice_093_img.npy,-3.4220629426,-3.4220629426,0.0000000000,24170
BraTS-MEN-RT-0002-1_slice_093_mask.npy,1.0000000000,0.0000000000,0.0000000000,30153
BraTS-MEN-RT-0002-1_slice_094_img.npy,-3.4220629426,-3.4220629426,0.0000000000,24479
BraTS-MEN-RT-0002-1_slice_094_mask.npy,1.0000000000,0.0000000000,0.0000000000,30148
BraTS-MEN-RT-0002-1_slice_095_img.npy,-3.4220629426,-3.4220629426,0.0000000000,24815
BraTS-MEN-RT-0002-1_slice_095_mask.npy,1.0000000000,0.0000000000,0.0000000000,30136
BraTS-MEN-RT-0002-1_slice_096_img.npy,-3.4220629426,-3.4220629426,0.0000000000,25270
BraTS-MEN-RT-0002-1_slice_096_mask.npy,1.0000000000,0.0000000000,0.0000000000,30168
BraTS-MEN-RT-0002-1_slice_097_img.npy,-3.4220629426,-3.4220629426,0.0000000000,25870
BraTS-MEN-RT-0002-1_slice_097_mask.npy,1.0000000000,0.0000000000,0.0000000000,30225
BraTS-MEN-RT-0002-1_slice_098_img.npy,-3.4220629426,-3.4220629426,0.0000000000,26342
BraTS-MEN-RT-0002-1_slice_098_mask.npy,1.0000000000,0.0000000000,0.0000000000,30284
BraTS-MEN-RT-0002-1_slice_099_img.npy,-3.4220629426,-3.4220629426,0.0000000000,26715
BraTS-MEN-RT-0002-1_slice_099_mask.npy,1.0000000000,0.0000000000,0.0000000000,30344
