filename,image_file,type,voxel_count,original_voxel_count,removed_ratio
BraTS-MEN-RT-0482-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0482-1_t1c.nii.gz,GTV,2987,19508,0.846883329915932
BraTS-MEN-RT-0051-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0051-1_t1c.nii.gz,BET,1405116,679226,-1.0687017281435045
BraTS-MEN-RT-0588-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0588-1_t1c.nii.gz,BET,1565056,4336602,0.6391054562996559
BraTS-MEN-RT-0550-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0550-1_t1c.nii.gz,BET,1373444,5539961,0.7520841753218118
BraTS-MEN-RT-0303-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0303-1_t1c.nii.gz,BET,1438690,1885835,0.2371071700334335
BraTS-MEN-RT-0434-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0434-1_t1c.nii.gz,GTV,2620,7256,0.6389195148842337
BraTS-MEN-RT-0089-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0089-1_t1c.nii.gz,BET,1124931,3114697,0.6388313213131165
BraTS-MEN-RT-0209-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0209-1_t1c.nii.gz,GTV,139560,334201,0.5824069945930742
BraTS-MEN-RT-0453-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0453-1_t1c.nii.gz,BET,1462436,1014709,-0.44123684721432443
BraTS-MEN-RT-0200-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0200-1_t1c.nii.gz,BET,1276403,822872,-0.5511561944020456
BraTS-MEN-RT-0537-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0537-1_t1c.nii.gz,GTV,52985,96708,0.45211357902138394
BraTS-MEN-RT-0080-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0080-1_t1c.nii.gz,GTV,15001,19638,0.23612384153172417
BraTS-MEN-RT-0559-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0559-1_t1c.nii.gz,GTV,11644,21082,0.44768048572241725
BraTS-MEN-RT-0058-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0058-1_t1c.nii.gz,GTV,6311,7224,0.1263842746400886
BraTS-MEN-RT-0144-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0144-1_t1c.nii.gz,BET,1171308,565271,-1.0721176214594417
BraTS-MEN-RT-0372-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0372-1_t1c.nii.gz,GTV,47225,122852,0.6155943737179697
BraTS-MEN-RT-0445-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0445-1_t1c.nii.gz,BET,1559355,5922707,0.7367158294340747
BraTS-MEN-RT-0216-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0216-1_t1c.nii.gz,BET,1294447,835107,-0.550037300609383
BraTS-MEN-RT-0271-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0271-1_t1c.nii.gz,GTV,69457,79210,0.12312839287968691
BraTS-MEN-RT-0422-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0422-1_t1c.nii.gz,GTV,3875,2689,-0.441056154704351
BraTS-MEN-RT-0546-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0546-1_t1c.nii.gz,BET,1264779,1438967,0.12105072597217315
BraTS-MEN-RT-0315-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0315-1_t1c.nii.gz,BET,1793937,14202907,0.8736922659565397
BraTS-MEN-RT-0029-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0029-1_t1c.nii.gz,BET,1344502,1529272,0.12082219513598624
BraTS-MEN-RT-0614-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0614-1_t1c.nii.gz,BET,1194101,7970693,0.8501885595142104
BraTS-MEN-RT-0005-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0005-1_t1c.nii.gz,BET,1157751,1420104,0.18474210339524433
BraTS-MEN-RT-0161-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0161-1_t1c.nii.gz,GTV,7512,19998,0.6243624362436244
BraTS-MEN-RT-0285-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0285-1_t1c.nii.gz,GTV,605,998,0.3937875751503006
BraTS-MEN-RT-0339-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0339-1_t1c.nii.gz,BET,1564150,10268190,0.8476703294348857
BraTS-MEN-RT-0460-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0460-1_t1c.nii.gz,GTV,13452,15504,0.13235294117647056
BraTS-MEN-RT-0469-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0469-1_t1c.nii.gz,BET,1428502,12045016,0.8814030633085087
BraTS-MEN-RT-0330-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0330-1_t1c.nii.gz,GTV,9868,11294,0.12626173189304057
BraTS-MEN-RT-0168-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0168-1_t1c.nii.gz,BET,1375500,9178105,0.850132461984255
BraTS-MEN-RT-0106-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0106-1_t1c.nii.gz,BET,1519261,3928810,0.6133025012662867
BraTS-MEN-RT-0062-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0062-1_t1c.nii.gz,GTV,21023,23841,0.11819973994379429
BraTS-MEN-RT-0074-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0074-1_t1c.nii.gz,GTV,2825,18537,0.8476020931110751
